FID,BLOCK,LATITUDE,LONGITUDE,YIELD__lpm,Binary,gwpz
0,SHANKARGARH,25.205555560000001,81.509722220000000,900,1,-9999.0000000
1,SHANKARGARH,25.166666670000001,81.583333330000002,252,1,-9999.0000000
2,SHANKARGARH,25.216666669999999,81.672222219999995,100,1,1274.9699707
3,SHANKARGARH,25.109722219999998,81.702777780000005,750,1,1259.7099609
4,SHANKARGARH,25.083333329999999,81.733333329999994,450,1,-9999.0000000
5,SHANKARGARH,25.178393499999999,81.626597099999998,300,1,1456.4699707
6,SHANKARGARH,25.209973800000000,81.639126300000001,100,1,1045.7199707
7,URWAN,25.212499999999999,82.075000000000003,1900,1,1717.9300537
8,MANDA,25.050000000000001,82.200000000000003,1130,1,1034.5400391
9,JASRA,25.202777780000002,81.780555559999996,170,1,915.9929810
10,MEJA,25.050000000000001,81.883333329999999,590,1,1780.1700439
11,MEJA,25.141666669999999,82.108333329999994,1350,1,1424.7399902
12,MEJA,25.149999999999999,81.991666670000001,1450,1,1890.7199707
13,MEJA,25.024999999999999,82.166666669999998,926,1,-9999.0000000
14,MEJA,25.144444440000001,81.902777779999994,770,1,2157.0100098
15,MEJA,25.094444440000000,81.930555560000002,107,1,-9999.0000000
16,MEJA,25.175000000000001,81.941666670000004,450,1,1782.2199707
17,KORAON,24.966898199999999,82.063866899999994,56,1,-9999.0000000
18,KORAON,24.991666599999999,82.075000000000003,340,1,1589.6099854
19,KORAON,24.941683200000000,82.046843199999998,960,1,1154.3399658
20,KORAON,25.104622500000001,82.133281800000006,700,1,1200.2199707
