FID,CID,Binary,gwpz
0,0,0,917.7960205
1,0,0,1376.2700195
2,0,0,838.6489868
3,0,0,905.6859741
4,0,0,1397.5100098
5,0,0,1001.1599731
6,0,0,1002.8800049
7,0,0,1947.7299805
8,0,0,-9999.0000000
9,0,0,1951.1999512
10,0,0,1368.1500244
11,0,0,886.3159790
12,0,0,1594.8399658
13,0,0,1100.9200439
14,0,0,1707.4499512
15,0,0,1374.4799805
16,0,0,-9999.0000000
17,0,0,965.1569824
18,0,0,1146.9899902
19,0,0,1674.2299805
20,0,0,1681.1099854
21,0,0,2000.5200195
22,0,0,1292.4599609
23,0,0,1682.5400391
24,0,0,-9999.0000000
